ID,fully connected layer,recurrent layer,pooling layer,convolutional layer,deconvolutional layer,dropout layer,softmax layer,subsampling layer,gru layer
10022537001,1,0,0,0,0,0,0,0,0
10022590001,0,0,0,1,0,0,0,0,0
10022610001,1,0,1,1,0,0,0,1,0
10022624001,1,0,0,1,0,0,0,0,0
10022633001,1,0,1,1,0,0,1,0,0
10022680001,1,0,0,1,0,0,0,0,0
10022701001,0,0,0,1,0,0,0,0,0
10022713001,0,0,1,0,0,0,0,0,0
10022739001,0,0,0,1,0,0,0,0,0
10022763001,0,0,1,1,0,0,0,0,0
10022779001,0,0,1,1,0,0,0,0,0
10022783001,0,0,1,0,0,0,0,0,0
10022796001,1,0,1,1,0,0,0,0,0
10022804001,1,0,1,1,0,0,0,0,0
10022843001,0,0,0,1,0,0,0,0,0
10022868001,0,0,0,1,0,0,0,0,0
10022883001,0,0,1,1,0,0,0,0,0
10022906001,1,0,0,1,0,0,0,0,0
10022936001,0,1,0,0,0,0,1,0,0
10023006001,0,0,0,1,0,0,0,0,0
10023008001,0,0,0,1,0,0,0,0,0
10023036001,1,0,1,1,0,0,0,0,0
10023055001,0,0,0,1,0,0,0,0,0
10023096001,0,0,0,1,0,0,0,0,0
10023237001,1,0,1,1,0,0,0,0,0
10023269001,1,0,1,0,0,0,0,0,0
10023309001,1,0,0,0,0,1,0,0,0
10023342001,0,0,0,1,0,0,0,0,0
10023389001,0,0,1,1,0,0,0,0,0
10023427001,1,0,1,1,0,0,0,0,0
10023445001,0,0,0,1,0,0,0,1,0
10023447001,0,0,0,1,0,0,0,0,0
10023496001,1,0,0,1,0,0,0,0,0
10023501001,1,0,1,1,0,0,0,0,0
10023561001,0,0,0,1,0,0,0,0,0
10023565001,0,0,1,1,0,0,0,0,0
10023577001,1,0,1,1,0,0,0,0,0
10023587001,1,0,0,0,0,0,0,0,0
10023616001,1,0,0,0,0,0,0,0,0
10023632001,1,0,0,0,0,0,0,0,0
10023640001,0,0,1,1,0,0,0,0,0
10023640002,1,0,1,1,0,1,1,0,0
10023642001,1,0,0,0,0,0,0,0,0
10023685001,1,0,1,1,0,0,0,0,0
10023726001,1,0,0,1,0,0,0,0,0
10023730001,0,0,1,1,0,0,0,0,0
10023740001,1,0,1,1,1,0,0,0,0
10023744001,0,0,0,1,0,0,0,0,0
10023750001,0,0,0,1,0,0,0,0,0
10023765001,0,0,0,1,0,0,0,0,0
10023772001,0,0,0,1,0,0,0,0,0
10023774001,1,0,1,0,0,0,0,0,0
10023789001,0,0,0,1,0,0,0,0,0
10023820001,0,0,0,1,0,0,0,0,0
10023830001,1,0,0,0,0,0,0,0,0
10023857001,1,0,0,1,0,0,0,0,0
10023859001,1,0,1,1,0,0,0,0,0
10023860001,0,0,0,1,0,0,0,0,0
10023865001,1,0,0,0,0,0,0,0,0
10023897001,1,1,0,1,0,0,0,0,0
10023900001,1,0,0,1,0,0,0,0,0
10023927001,1,0,0,1,0,0,1,0,0
10023933001,0,0,0,0,0,1,0,0,0
10023935001,1,0,0,0,0,0,0,0,0
10023945001,0,0,0,0,0,0,1,0,0
10023982001,1,0,0,1,0,0,0,0,0
